COMECANDO LOG DA INSTÂNCIA 1.txt
Requisicao 1 | Sensor Sensor(3) | 1 caminhos testados | Selecionado: [Sensor(3), FogNode(0)]
Requisicao 2 | Sensor Sensor(15) | 1 caminhos testados | Selecionado: [Sensor(15), FogNode(6)]
Requisicao 3 | Sensor Sensor(18) | 1 caminhos testados | Selecionado: [Sensor(18), FogNode(9)]
Requisicao 4 | Sensor Sensor(10) | 1 caminhos testados | Selecionado: [Sensor(10), FogNode(5)]
Requisicao 5 | Sensor Sensor(19) | 1 caminhos testados | Selecionado: [Sensor(19), FogNode(9)]
Requisicao 6 | Sensor Sensor(18) | 1 caminhos testados | Selecionado: [Sensor(18), FogNode(9)]
Requisicao 7 | Sensor Sensor(18) | 1 caminhos testados | Selecionado: [Sensor(18), FogNode(9)]
Requisicao 8 | Sensor Sensor(19) | 1 caminhos testados | Selecionado: [Sensor(19), FogNode(9)]
Requisicao 9 | Sensor Sensor(17) | 1 caminhos testados | Selecionado: [Sensor(17), FogNode(8)]
Requisicao 10 | Sensor Sensor(5) | 1 caminhos testados | Selecionado: [Sensor(5), FogNode(3)]
Requisicao 11 | Sensor Sensor(8) | 1 caminhos testados | Selecionado: [Sensor(8), FogNode(5)]
Requisicao 12 | Sensor Sensor(9) | 1 caminhos testados | Selecionado: [Sensor(9), FogNode(5)]
Requisicao 13 | Sensor Sensor(3) | 1 caminhos testados | Selecionado: [Sensor(3), FogNode(0)]
Requisicao 14 | Sensor Sensor(16) | 1 caminhos testados | Selecionado: [Sensor(16), FogNode(9)]
Requisicao 15 | Sensor Sensor(11) | 1 caminhos testados | Selecionado: [Sensor(11), FogNode(5)]
Requisicao 16 | Sensor Sensor(14) | 1 caminhos testados | Selecionado: [Sensor(14), FogNode(6)]
Requisicao 17 | Sensor Sensor(14) | 1 caminhos testados | Selecionado: [Sensor(14), FogNode(6)]
Requisicao 18 | Sensor Sensor(9) | 1 caminhos testados | Selecionado: [Sensor(9), FogNode(5)]
Requisicao 19 | Sensor Sensor(15) | 1 caminhos testados | Selecionado: [Sensor(15), FogNode(6)]
Requisicao 20 | Sensor Sensor(16) | 1 caminhos testados | Selecionado: [Sensor(16), FogNode(9)]
Requisicao 21 | Sensor Sensor(16) | 1 caminhos testados | Selecionado: [Sensor(16), FogNode(9)]
Requisicao 22 | Sensor Sensor(13) | 1 caminhos testados | Selecionado: [Sensor(13), FogNode(7)]
Requisicao 23 | Sensor Sensor(6) | 1 caminhos testados | Selecionado: [Sensor(6), FogNode(3)]
Requisicao 24 | Sensor Sensor(16) | 1 caminhos testados | Selecionado: [Sensor(16), FogNode(9)]
Requisicao 25 | Sensor Sensor(1) | 1 caminhos testados | Selecionado: [Sensor(1), FogNode(0)]
Requisicao 26 | Sensor Sensor(19) | 1 caminhos testados | Selecionado: [Sensor(19), FogNode(9)]
Requisicao 27 | Sensor Sensor(4) | 1 caminhos testados | Selecionado: [Sensor(4), FogNode(3)]
Requisicao 28 | Sensor Sensor(12) | 1 caminhos testados | Selecionado: [Sensor(12), FogNode(6)]
Requisicao 29 | Sensor Sensor(12) | 1 caminhos testados | Selecionado: [Sensor(12), FogNode(6)]
Requisicao 30 | Sensor Sensor(7) | 1 caminhos testados | Selecionado: [Sensor(7), FogNode(3)]
Requisicao 31 | Sensor Sensor(7) | 1 caminhos testados | Selecionado: [Sensor(7), FogNode(3)]
Requisicao 32 | Sensor Sensor(8) | 1 caminhos testados | Selecionado: [Sensor(8), FogNode(5)]
Requisicao 33 | Sensor Sensor(7) | 1 caminhos testados | Selecionado: [Sensor(7), FogNode(3)]
Requisicao 34 | Sensor Sensor(7) | 1 caminhos testados | Selecionado: [Sensor(7), FogNode(3)]
Requisicao 35 | Sensor Sensor(2) | 1 caminhos testados | Selecionado: [Sensor(2), FogNode(1)]
Requisicao 36 | Sensor Sensor(3) | 1 caminhos testados | Selecionado: [Sensor(3), FogNode(0)]
Requisicao 37 | Sensor Sensor(4) | 1 caminhos testados | Selecionado: [Sensor(4), FogNode(3)]
Requisicao 38 | Sensor Sensor(8) | 1 caminhos testados | Selecionado: [Sensor(8), FogNode(5)]
Requisicao 39 | Sensor Sensor(16) | 1 caminhos testados | Selecionado: [Sensor(16), FogNode(9)]
Requisicao 40 | Sensor Sensor(15) | 1 caminhos testados | Selecionado: [Sensor(15), FogNode(6)]
Requisicao 41 | Sensor Sensor(11) | 1 caminhos testados | Selecionado: [Sensor(11), FogNode(5)]
Requisicao 42 | Sensor Sensor(0) | 1 caminhos testados | Selecionado: [Sensor(0), FogNode(1)]
Requisicao 43 | Sensor Sensor(0) | 1 caminhos testados | Selecionado: [Sensor(0), FogNode(1)]
Requisicao 44 | Sensor Sensor(12) | 1 caminhos testados | Selecionado: [Sensor(12), FogNode(6)]
Requisicao 45 | Sensor Sensor(12) | 1 caminhos testados | Selecionado: [Sensor(12), FogNode(6)]
Requisicao 46 | Sensor Sensor(18) | 1 caminhos testados | Selecionado: [Sensor(18), FogNode(9)]
Requisicao 47 | Sensor Sensor(18) | 1 caminhos testados | Selecionado: [Sensor(18), FogNode(9)]
Requisicao 48 | Sensor Sensor(16) | 1 caminhos testados | Selecionado: [Sensor(16), FogNode(9)]
Requisicao 49 | Sensor Sensor(5) | 1 caminhos testados | Selecionado: [Sensor(5), FogNode(3)]
Requisicao 50 | Sensor Sensor(4) | 1 caminhos testados | Selecionado: [Sensor(4), FogNode(3)]
